source,target,weight
43,51,46.7414575843902
44,126,39.82816459684824
45,49,45.21416719872199
45,71,39.05753472661884
45,122,40.05221654521703
46,74,23.646600188797304
46,92,37.83888174261314
46,119,16.938354940138318
47,61,71.96700037039922
47,104,13.891307458058384
48,58,14.288752739503478
49,71,25.64184395564647
49,88,47.82156637158527
49,120,55.16283835472987
50,95,10.201054346430844
50,102,26.85510477365368
51,79,43.50655544908574
51,112,48.33903486296385
52,59,32.56529042650219
52,89,30.77978716552881
52,100,32.618980565163746
52,121,45.15103533782897
53,78,28.913378813916445
53,91,25.572714755045947
53,126,13.86414828330965
54,67,47.507605762575835
54,108,59.79634992211257
55,58,28.25323287290924
55,97,19.03755918150836
56,93,19.525107820746243
57,78,15.431574052262249
57,91,17.910699886500314
57,106,8.48464777845704
59,89,31.579093680204654
60,77,31.24322047260964
60,105,37.339415372564495
61,85,24.75830944096944
61,104,60.41464639808579
62,70,48.99118770948184
62,94,39.06507631137345
62,98,12.115631534739576
63,87,53.71033626847701
63,105,38.16317122142305
63,117,18.13804349276279
63,128,37.14040303613716
64,69,22.898293308594294
64,96,8.124610457738639
65,82,79.79916499636215
65,86,77.11544524277379
66,83,10.948481726569844
66,116,9.457083390837786
66,123,13.490029443404858
67,114,56.7960280467351
68,81,108.17929537588738
68,109,18.4067099297046
70,80,55.78609242924409
70,98,37.00719612636922
70,125,48.33854600044392
71,76,49.725068513097575
71,88,41.96550594131458
71,118,37.908205373374216
72,90,30.20351958339477
72,119,47.56293287510972
73,84,72.44478361655865
73,124,51.01222520025196
74,92,14.262716120988266
74,119,40.52039192023396
74,122,29.812553193955303
75,127,44.97347581338252
76,90,55.70417829618167
76,118,20.911002001747352
78,91,9.59300079231854
78,106,9.35576948167453
79,108,48.57355124946408
79,112,21.66831096471353
80,98,60.74106549843559
82,84,21.949532101338455
82,86,2.8084619891279767
82,124,29.565952349117385
83,116,14.635447057373423
83,123,23.791864571826757
84,86,24.74831720599267
84,124,22.008161830452163
85,123,29.667205443209966
86,124,31.341341745513215
87,99,52.97304403807911
87,117,60.76143598448295
87,125,62.346804577560114
88,118,35.138630358921674
88,120,31.536794303072046
89,121,20.607604917279414
90,100,27.408550030060255
91,106,16.132852038441015
91,126,39.32572147623379
92,113,17.933223452309825
92,122,25.351714164654986
94,98,48.567655802968275
94,115,47.65391356603823
95,102,17.1718446233686
98,125,73.40115425092318
99,119,55.81170712617909
101,123,44.449844805355156
102,103,41.726847394926644
103,115,37.73079605637125
105,117,56.154692015255414
107,111,15.120869924893698
110,113,14.968083453289848
113,122,30.19547072576736
114,127,58.688227188646835
116,123,19.496360585099936
117,128,19.124512031036044
