id,name,country,region,latitude,longitude,elevation,timezone,distance
LXS08,Delaware Airpark,US,DE,39.21869,-75.60047,16,America/New_York,1545885.8
M14U3,Berthoud Pass,US,CO,39.79453,-105.76393,3807,America/Denver,1669932.8
M272V,St Ludger,CA,QC,45.75,-70.68,335,America/Toronto,1882935.4
M3OTI,Canandaigua Airport,US,NY,42.9089,-77.32523,248,America/New_York,1934169.8
M3Y2F,St Narcisse,CA,QC,46.53,-72.43,46,America/Toronto,1914948.9
M44D9,Monterey Regional Airport,US,CA,36.59047,-121.84875,77,America/Los_Angeles,1229168.6
MAU7O,Mono Centre,CA,ON,44.03,-80.02,436,America/Toronto,1772641.3
MBPUU,Oakes Municipal Airport,US,ND,46.1731,-98.0799,407,America/Chicago,1811729.7
MDSMM,Roy,US,MT,47.3,-108.9,1086,America/Denver,1937231.1
MEIQU,Amherstburg,CA,ON,42.1,-83.09,182,America/Toronto,1933284.6
MKS6X,St Sebastien,CA,QC,45.77,-70.95,442,America/Toronto,1876525.3
MMCS0,Ciudad Juarez / Cd. Juarez / Manuel F. Martínez / Tolentino,MX,CHH,31.6364,-106.4288,1171,America/Monterrey,1695955.5
MMCU0,Chihuahua / Rancho de Enmedio,MX,CHH,28.7024,-105.9635,1360,America/Monterrey,1660665.4
MMGM0,Guaymas / San Germán,MX,SON,27.9698,-110.9235,27,America/Hermosillo,1168475.6
MMLM0,Los Mochis / Plan de Guadalupe,MX,SIN,25.6855,-109.0811,4,America/Mazatlan,1332958.0
MMMA0,Matamoros / San Cristóbal,MX,TAM,25.77,-97.5252,7,America/Monterrey,1393629.6
MMMY0,Monterrey / Las Ladrilleras,MX,NLE,25.7786,-100.1071,387,America/Monterrey,1135172.5
MOXWI,Knox County Regional Airport,US,ME,44.06667,-69.1,17,America/New_York,1775026.1
MQGPL,Cochran Airport,US,GA,32.3994,-83.2759,114,America/New_York,1836493.3
MRDYG,Waterloo Wellington 2,CA,ON,43.45,-80.38,314,America/Toronto,1997457.9
MRKB0,Gunnison Oil Platform,US,TX,27.3,-93.53,49,America/Chicago,1791906.9
MRYDA,Delta,US,MT,47.38,-109.82,1093,America/Denver,1938822.2
MSL35,St Prosper,CA,QC,46.22,-70.5,282,America/Toronto,1936319.0
MT4CH,Grand Canyon National Park Airport,US,AZ,35.94582,-112.15538,2014,America/Phoenix,1511976.8
MVZI9,Brantford Airport,CA,ON,43.14,-80.33,246,America/Toronto,1962762.6
N4D49,Ste Genevieve,CA,QC,45.5,-73.85,23,America/Toronto,1773705.9
N4N88,Thornbury 3,CA,ON,44.55,-80.47,212,America/Toronto,1804449.6
N4SON,Thetford Mines,CA,QC,46.1,-71.35,381,America/Toronto,1898506.8
N5DTT,Schaumburg Regional Airport,US,IL,41.98934,-88.10124,244,America/Chicago,1833218.9
NFUKD,Jacksonville Naval Air Station,US,FL,30.23468,-81.67462,7,America/New_York,1918326.2
NG9G1,Tehachapi Municipal Airport,US,CA,35.135,-118.4392,1220,America/Los_Angeles,1131065.4
NMJ6U,Ellsworth Air Force Base,US,SD,44.15,-103.1,999,America/Denver,1737378.7
NNAS8,Deschambault,CA,QC,46.67,-71.92,15,America/Toronto,1942327.9
NNUXM,Sunlight,US,CO,39.42556,-107.37917,3232,America/Denver,1589043.1
NNY2V,Wellington,US,KS,37.32361,-97.38834,389,America/Chicago,1864180.4
NO755,Luce County Airport,US,MI,46.31111,-85.45722,265,America/Detroit,1849136.8
NS1ZB,Montgomery County Airport,US,MD,39.16957,-77.16551,164,America/New_York,1905407.1
NTACA,St Amable,CA,QC,45.67,-73.3,41,America/Toronto,1803593.0
NUIKA,Kingston Airport,CA,ON,44.23,-76.6,92,America/Toronto,1950425.1
NY2ZQ,Wray Municipal Airport,US,CO,40.09929,-102.24308,1118,America/Denver,1829480.2
NZNCY,Gregory M Simmons Memorial Airport,US,TX,32.3658,-99.0237,522,America/Chicago,1424202.6
NZY2Y,Toronto North York,CA,ON,43.78,-79.47,187,America/Toronto,1772826.7
O26VE,Chenault Airpark,US,LA,30.21667,-93.15,4,America/Chicago,1868109.7
O5PFW,Newburgh / Stewart,US,NY,41.5,-74.1,150,America/New_York,1821593.3
O879F,St Thomas Wpcp,CA,ON,42.77,-81.21,209,America/Toronto,1930054.7
OBMJ4,Kilo - Harlowton,US,MT,46.5,-109.8,1330,America/Denver,1841443.8
OCYVH,Arthabaska,CA,QC,46.02,-71.95,140,America/Toronto,1873586.5
ODQFS,Poplar Bluff Municipal Airport,US,MO,36.77056,-90.32222,99,America/Chicago,1576871.2
OILVL,Muskoka Snow,CA,ON,44.98,-79.05,290,America/Toronto,1902973.9
OLSNK,Alamogordo-White,US,NM,32.83512,-105.99408,1279,America/Denver,1782244.1
ONP0C,Georgetown Scott County Regional Airport,US,KY,38.23444,-84.43469,288,America/New_York,1490316.4
OOWL9,Childress Municipal Airport,US,TX,34.4275,-100.28333,595,America/Chicago,1457089.4
OQRHP,Little Rock (Adams Field),US,AR,34.72667,-92.23611,79,America/Chicago,1291831.6
OWS38,St Pierre De Broughton,CA,QC,46.25,-71.22,366,America/Toronto,1917717.5
OXHNJ,Iberville,CA,QC,45.33,-73.25,30,America/Toronto,1768545.2
OXHTY,Fleury,CA,QC,45.8,-73.0,30,America/Toronto,1824227.7
OZNF7,Pensacola International Airport,US,FL,30.47806,-87.18694,38,America/Chicago,1414904.6
OZW12,Lachute,CA,QC,45.65,-74.33,91,America/Toronto,1780636.6
P02AU,Galesburg Municipal Airport,US,IL,40.9329,-90.43339,233,America/Chicago,1946540.9
P14V5,Elk Mountain Awos,US,WY,41.7253,-106.4594,2225,America/Denver,1856204.2
P1E8Y,Liberty Municipal Airport,US,TX,30.07781,-94.69856,21,America/Chicago,1719345.3
P4QN6,St Wenceslas,CA,QC,46.17,-72.33,84,America/Toronto,1879471.0
P6Q7I,Lac Megantic 2,CA,QC,45.6,-70.87,426,America/Toronto,1861693.4
PBSN1,Lauzon,CA,QC,46.82,-71.1,69,America/Toronto,1979961.8
PFNO0,Noorvik / Andrewsville,US,AK,38.8495,-75.6128,20,America/New_York,1971450.9
PTKXA,Nakika Subsea Development Platform,US,MS,28.5208,-88.2889,36,America/Chicago,1251987.3
PTL2Q,Magnolia Oil Platform,US,LA,27.2,-92.2,54,Asia/Thimphu,1923007.3
PUDM3,Beausejour,CA,QC,46.67,-71.17,107,America/Toronto,1962491.8
PWLAQ,Petawawa Hoffman,CA,ON,45.88,-77.25,153,America/Toronto,1770937.3
Q5MJ7,Tracy Municipal Airport,US,CA,37.6889,-121.44158,58,America/Los_Angeles,1353170.6
Q8ZYN,Clyde A. Thomas Regional Airport,US,KY,38.215,-83.5874,313,America/New_York,1515841.2
QBXLB,Foldens,CA,ON,43.02,-80.78,328,America/Toronto,1953218.8
QCHZN,Panola County Airport,US,TX,32.17608,-94.29881,75,America/Chicago,1821311.1
QHXQN,Wheeling Ohio County Airport,US,WV,40.17028,-80.64444,365,America/New_York,1823772.0
QOHE2,Baldwin,CA,ON,44.27,-79.32,229,America/Toronto,1824983.6
QP8H3,Telfair-Wheeler Airport,US,GA,32.09699,-82.87941,61,America/New_York,1860550.5
QQRP0,Green Canyon 787 Atlantis,US,LA,27.195,-90.027,64,Asia/Thimphu,1057769.8
QX6JS,Lompoc Airport,US,CA,34.66667,-120.46667,27,America/Los_Angeles,1030711.4
QZ5US,Airglades Airport,US,FL,26.73517,-81.05106,6,America/New_York,1942780.6
R254Y,Prattville (Grouby Field),US,AL,32.4387,-86.5127,69,America/Chicago,1558332.9
R521S,Walden-Jackson County Airport,US,CO,40.7454,-106.2754,2486,America/Denver,1756150.8
R8AS1,De Quincy Industrial Airpark,US,LA,30.4412,-93.4735,24,America/Chicago,1843051.5
RDZOX,Vallee Jonction,CA,QC,46.38,-70.93,152,America/Toronto,1939555.1
RECEV,Easton / Newman Field,US,MD,38.8,-76.06667,22,America/New_York,1939751.9
RGSKT,Tucumcari Municipal Airport,US,NM,35.18053,-103.60145,1239,America/Denver,1307495.5
RQ9YK,Webster Field,US,MD,38.14889,-76.42,6,America/New_York,1866727.1
RXSF9,Sublette Municipal Airport,US,KS,37.4969,-100.8329,887,America/Chicago,1663460.0
S5NYN,Lawrenceburg-Lawrence County Airport,US,TN,35.23431,-87.25794,285,America/Chicago,1661672.5
S785C,Sumner County Regional Airport,US,TN,36.37508,-86.40842,177,America/Chicago,1799620.7
SC9N0,Houston Hobby Airport,US,TX,29.6375,-95.2825,14,America/Chicago,1653747.2
SDA4B,Gilmer Municipal Airport,US,TX,32.69889,-94.94861,127,America/Chicago,1785007.9
SDKWP,Port Of South Louisiana Executive Regional Airport,US,LA,30.08747,-90.58283,2,America/Chicago,1096552.7
SEURC,Sprucedale,CA,ON,45.43,-79.49,337,America/Nipigon,1927682.6
SFHU0,New Lisbon Mauston Airport,US,WI,43.8387,-90.1377,276,America/Chicago,1790687.9
SGIC9,St Jerome,CA,QC,45.8,-74.05,170,America/Toronto,1802039.4
SI5V0,Sawyerville Nord,CA,QC,45.37,-71.53,346,America/Toronto,1818022.4
SJLOK,Les Cedres,CA,QC,45.3,-74.05,47,America/Toronto,1748201.0
SN520,Robert R Wells Jr Airport,US,TX,29.6411,-96.5158,74,America/Chicago,1537631.9
SOK6B,Montreal/pierre Elliott Trudeau Intl,CA,QC,45.47,-73.74,32,America/Toronto,1772750.1
ST9X5,Perry Lefors Field Airport,US,TX,35.61278,-100.99611,989,America/Chicago,1498498.6
STTYJ,Brockville,CA,ON,44.64,-75.75,120,America/Toronto,1648214.6
STU6R,Lingwick,CA,QC,45.63,-71.37,267,America/Toronto,1849502.7
SY9WI,Richmond,CA,QC,45.63,-72.13,123,America/Toronto,1828071.5
T2GME,Barrage Temiscamingue,CA,QC,46.71,-79.1,181,America/Toronto,1859882.0
T46N0,Tapley,CA,ON,44.17,-78.5,270,America/Toronto,1852469.3
TBTDY,Nantes,CA,QC,45.61,-70.93,477,America/Toronto,1860831.9
TECAD,Pierreville,CA,QC,46.08,-72.83,15,America/Toronto,1857874.4
TG45K,Quebec Intl Airport,CA,QC,46.79,-71.39,74,America/Toronto,1968834.9
TH208,Sorel,CA,QC,46.03,-73.12,15,America/Toronto,1845941.5
TIH4U,Lake Elmo Airport,US,MN,45.0002,-92.8549,285,America/Chicago,1797873.8
TIXBX,Grand Chenier,US,LA,29.8,-92.804,2,America/Chicago,1892131.9
TMSWZ,Headland Municipal Airport,US,AL,31.36414,-85.31253,109,America/Chicago,1616447.6
TMT7J,Bennington Morse State Airport,US,VT,42.89355,-73.2486,252,America/New_York,1989517.8
TOFHW,Fort Belvoir,US,VA,38.71667,-77.18333,23,America/New_York,1866659.2
TWWRA,Oka,CA,QC,45.5,-74.07,91,America/Toronto,1769334.4
TXQWW,Lake Anna Airport,US,VA,37.9658,-77.7459,106,America/New_York,1771808.2
TZOUX,Southern Ontario Emergency Portable Weather Station,CA,ON,43.27,-79.78,0,America/Toronto,1973803.7
U1FIS,Boysen,US,WY,43.4667,-108.2333,2225,America/Denver,1952743.9
U1K6U,Juliett,US,MT,47.7515,-111.5467,1152,America/Denver,1975203.6
U9ANI,Julian CDF,US,CA,33.0833,-116.63,1285,America/Los_Angeles,1006165.5
UD5GL,St Severin,CA,QC,46.33,-71.05,442,America/Toronto,1930890.7
UDYR4,North Bay Airport,CA,ON,46.38,-79.4,370,America/Toronto,1824008.5
UGCLW,Ste Anne Du Lac,CA,QC,46.85,-75.33,262,America/Toronto,1895936.7
