source,target,weight
90,633,8.123134924765187
90,2550,1.0057646690866948
91,2611,179.94407950167619
91,2621,62.898536334547394
92,286,101.68780371196708
92,1109,71.08506065584328
92,1320,74.14268004373955
92,1503,70.30406993805352
92,2192,94.13414000473462
92,2313,90.98209107972005
93,2612,20.115536433983852
93,2627,17.611230441124082
93,2665,19.04252674883832
94,426,52.93427943971004
94,894,45.60673527213767
94,1216,49.11080909717736
95,129,28.69567545472421
95,162,30.57003062989482
96,146,40.12781826249015
96,205,22.713860261603287
96,206,25.75955062170705
96,735,52.402649294040984
97,430,13.67051562362955
97,431,8.217515086145811
97,638,24.93343046616749
97,833,67.35818057482355
98,540,53.75794907288316
98,1924,49.063784409035016
98,2231,51.92930422186338
99,436,136.93965515362532
99,523,148.40558205010205
99,1048,94.64109544430944
99,2083,146.22307596169313
100,173,46.92144873872545
100,198,1.139603126990276
100,582,35.55271005167569
100,1457,39.032330439331076
101,187,7.731629008052579
101,794,0.44841294095229745
101,869,16.255665063827315
101,889,30.67147004354491
101,2680,37.111964598455124
102,202,14.384755451062235
102,203,0.0
102,2652,14.81883597211774
102,2708,26.585918393323904
103,152,16.533577445369687
103,763,12.973466564592352
103,773,16.57196634191125
103,853,13.877546176008652
104,156,43.09399104146299
104,191,63.95870920644584
104,197,54.822864409931675
104,2637,44.10343219943393
105,166,10.732829850568335
105,826,5.613636928886898
105,891,9.579282682541676
105,2582,8.337672831964019
106,207,20.766578016637926
106,2651,13.105107251737593
106,2653,22.714458878553238
107,143,27.356609434195892
107,144,38.64692389952889
107,2719,33.190389805149955
108,584,12.272284521757282
108,757,1.3500426302135813
108,1183,26.764867288094827
109,751,46.81648639262788
109,852,45.192174967240405
110,152,7.039963163002352
110,813,1.1436755935874916
110,1641,20.644282840160418
110,2669,1.1436755935874916
111,125,13.562948367905287
111,2569,31.811133784359935
111,2661,17.08020067401042
111,2688,17.08020067401042
112,165,4.080853807855561
112,184,19.217976881480162
112,742,8.848654256019584
113,211,52.051948214644334
113,731,45.31892155415634
114,154,37.01810933635336
114,168,35.50952532633559
114,2571,20.58400652552955
115,210,6.002889518601615
115,756,6.002889518601615
115,819,24.442514660154607
115,2666,8.703570215418603
116,156,44.383338718118594
116,2700,43.69402249847166
117,169,21.5019412002041
117,796,0.0
117,2517,19.203385373349644
118,615,42.17955924048239
118,1012,49.53085565120847
118,2645,25.715134475271608
118,2722,21.371209496557245
119,130,27.298677359809904
119,2700,18.291136228299386
120,122,58.97183900778927
120,192,13.708746329628068
120,736,13.708746329628068
120,876,40.39619872590529
121,748,36.905305791592205
121,867,43.0805397600186
121,944,54.269604856941626
121,2722,26.530966014790877
122,157,18.77387840776848
122,215,7.581283380176565
123,172,59.554390764341846
123,809,51.25593221241012
123,851,16.67923899668348
124,154,17.0482046625712
124,168,11.269259963213779
124,746,18.073627789747302
124,2551,29.35090059939152
125,155,8.971616165978872
125,2661,10.756076377568647
125,2688,10.756076377568647
126,128,32.64131640835613
126,163,41.951256391985076
126,2043,22.91349704575206
126,2554,17.509577888819464
127,187,35.72032504474409
127,792,23.74089425631949
127,2022,37.674034001569176
128,163,13.97054014134663
128,2093,56.273775247163925
129,162,22.299635444482973
129,2534,20.781877695181027
130,890,10.930266892990335
130,2700,15.938981595072125
131,143,54.2196523280345
131,144,24.627839206252872
131,201,46.83386245993782
131,797,24.331369533451596
131,802,46.92188110955146
131,2719,31.01224399472328
132,2567,22.340797457933423
132,2627,21.749090813865422
132,2707,20.848819172487346
133,753,6.423360067361007
133,791,19.789859377447787
134,766,14.229199929733673
134,791,16.541128133987993
134,2564,1.1119492664455182
135,1938,15.61739008067088
135,2678,5.255545643582658
136,824,32.29354425962726
136,843,15.754354612197977
136,2549,23.184672965322896
136,2705,21.471305695751568
137,177,12.664578456985339
137,801,9.036346451631985
138,720,21.100252473556665
138,2599,8.996414772859492
138,2698,14.087065007357888
139,759,14.076053442066904
139,868,18.074660547444353
139,1450,21.871802565312837
140,204,21.606922421852413
140,745,36.06680975099383
141,186,15.474271964583552
141,2570,9.975405520962743
141,2659,13.40852695488744
142,737,66.89942364902313
142,843,83.53431133667421
142,871,36.05345142911989
143,2719,59.586966580540945
144,149,9.181484691575275
144,797,18.71020217368659
144,2719,9.907268154363765
145,806,9.026768863738894
145,837,14.948779493570324
145,2577,4.415346102544567
146,205,54.53889807151478
146,206,58.20273815753292
146,733,36.262817681558346
146,2671,36.262817681558346
146,2679,33.16865964571491
147,171,9.561655261046754
147,202,7.203774074881608
147,798,11.546471176342193
147,2608,15.130937175012631
147,2612,15.273306935010437
147,2652,7.694704661906886
148,187,23.310764372987126
148,733,0.6380777851332097
148,869,16.62270726221785
148,2671,0.6380777851332097
148,2679,3.9246280887292238
149,797,22.523586228913825
