dataset_name,model_name,model_label,checkpoint,node_order,node_id,mae,mse,n_samples
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,0,1,0.8943713,1.4769309,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,1,2,0.86921585,1.4719825,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,2,3,0.7420265,0.95401865,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,3,4,0.8153283,1.2415483,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,4,5,1.0220557,1.9795142,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,5,6,1.1774392,2.6310437,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,6,7,1.0207645,1.8769696,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,7,8,1.112729,2.094504,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,8,9,0.7730277,1.0896423,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,9,10,0.9310593,1.5790142,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,10,11,1.0742977,2.179519,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,11,12,0.96846104,1.7200532,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,12,13,1.1015311,2.229823,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,13,14,1.0292273,2.0276,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,14,15,0.97973937,1.9274455,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,15,16,1.3798448,5.699763,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,16,17,1.1646688,2.385347,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,17,18,0.94530934,2.0711,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,18,19,1.029414,2.3349605,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,19,20,1.0897477,2.4651153,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,20,21,0.994429,1.826747,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,21,22,1.1059388,2.2030613,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,22,23,0.82046753,1.3167018,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,23,24,1.0594146,2.1235774,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,24,25,1.0252131,1.9850936,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,25,26,0.99740225,1.8189275,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,26,27,1.0329114,2.0831358,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,27,28,0.9512911,1.9894196,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,28,29,0.8640281,1.3133997,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,29,30,0.95110095,1.6292313,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,30,31,0.81757087,1.2249357,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,31,32,0.77537316,1.1087345,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,32,33,0.5139312,0.48183838,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,33,34,0.79397005,1.135404,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,34,35,0.70343953,2.355419,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,35,36,1.1329198,2.2631683,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,36,37,1.0407088,2.1219935,1752
florida,graph_only,GNN Only Model,florida_graph_only_checkpoint.pt,37,38,0.9657613,1.79241,1752
